会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ジンジブ,142A,サービス業,グロース（内国株式）,JP,2025-03-31,大阪府,1712534016.0,3.789655,,7.5130525,24.736678702143116,0.0,0.0,78.53,,62.6599883785414,2400260000.0,62546000.0,0.15338,-184425000.0,-0.05538,,0.1864782130386951,1700830000.0,1339666000.0,1843605000.0,514605000.0,1593893000.0,50000.0,142810000.0,0.083391044303788
ファーストコーポレーション,1430,建設業,スタンダード（内国株式）,JP,2025-05-31,東京都,12686014464.0,1.2843999,6.571429,10.030337,9.295180831931788,0.3984,0.039585296,105.48,161.0,79.10999787263096,43194307000.0,2579580000.0,0.06929,1669537000.0,0.040349998,0.13269,0.3921653338229589,15128862000.0,11596123000.0,24208066000.0,4714443000.0,5400034000.0,32033000.0,9101627100.0,0.7174536278378312
Ｌｉｂ　Ｗｏｒｋ,1431,建設業,グロース（内国株式）,JP,2025-06-30,熊本県,14972603392.0,3.2502928,,30.391693,40.90476532503366,0.30200002,0.004923077,21.19,,17.221355024098628,16004726000.0,833260000.0,0.100209996,494687000.0,0.015369999,0.04996,0.4091264885898282,6808925000.0,4866377000.0,9304283000.0,3813001000.0,3897392000.0,10030000.0,2502379000.0,0.1671305206238912
ベステラ,1433,建設業,プライム（内国株式）,JP,2025-01-31,東京都,11031120896.0,2.0273178,14.555289,21.414677,37.46680363613787,0.44169998,0.020424837,56.55,83.2,26.08257492101772,10897473000.0,373634000.0,0.104449995,409806000.0,0.057140004,0.12037,0.4393745681328702,6192955000.0,5293229000.0,7130366000.0,3752104000.0,1599484000.0,3403448000.0,3319824600.0,0.300950794692478
ＪＥＳＣＯホールディングス,1434,建設業,スタンダード（内国株式）,JP,2025-08-31,東京都,13693945856.0,1.7985187,41.47059,12.706791,5.05818790494463,0.19319999,0.014888338,155.35,47.6,146.62999513048194,19067640000.0,1721776000.0,0.1189,1076152000.0,0.0704,0.18907,0.4236105204590327,10086303000.0,5479494000.0,14205868000.0,5557899000.0,3059019000.0,254604000.0,4297787800.0,0.3138458297698705
ｒｏｂｏｔ　ｈｏｍｅ,1435,不動産業,スタンダード（内国株式）,JP,2024-12-31,東京都,19864401920.0,1.7794883,3.800516,35.473515,16.811815215124877,0.3205,0.0,6.23,58.15,9.86101005515986,13157735000.0,1043975000.0,0.11092,912829000.0,0.08264,0.19448,0.7034606737293668,3922976000.0,3020042000.0,9823637000.0,1321375000.0,6501814000.0,1038034000.0,6627284800.0,0.333626193564251
グリーンエナジー＆カンパニー,1436,建設業,グロース（内国株式）,JP,2025-04-30,東京都,10380114944.0,1.9222431,,30.673653,11.31338720201059,0.1586,0.0051587303,82.09,,80.53000055322123,11616630000.0,543538000.0,0.06834,275507000.0,0.02473,0.06567,0.3904340882379711,8254681000.0,4266622000.0,11249763000.0,5757725000.0,979374000.0,234450000.0,3159197000.0,0.3043508686602844
岐阜造園,1438,建設業,スタンダード（内国株式）,JP,2025-09-30,岐阜県,5872025600.0,1.4173368,,15.361114,19.053040340104303,0.3055,0.02,117.83,,104.75999117522984,6271357000.0,538283000.0,0.02934,384527000.0,0.06123,0.09646,0.7174932608629039,1631853000.0,1395368000.0,3861351000.0,251936000.0,2631424000.0,369608000.0,2488223600.0,0.4237419537135533
イシン,143A,サービス業,グロース（内国株式）,JP,2025-03-31,東京都,1544227328.0,1.289009,,11.160777,28.652719494136,0.0,0.0,71.59,,75.56001797466674,1393451000.0,245115000.0,-0.17687,177571000.0,0.050580002,0.01154,0.5458102101709206,519220000.0,517700000.0,1734316000.0,,1399156000.0,392647000.0,1489948900.0,0.964850752854958
技研ホールディングス,1443,建設業,スタンダード（内国株式）,JP,2025-03-31,東京都,5243685888.0,0.44075707,,8.725014,7.995471927681869,0.0297,0.0032448377,37.02,,27.36193409300893,4906440000.0,623987000.0,0.17723,491949000.0,0.124510005,0.05248,0.6752903923732716,5248911000.0,2260660000.0,4082888000.0,3305471000.0,1648906000.0,5911023000.0,2971693100.0,0.5667183663309467
ニッソウ,1444,建設業,グロース（内国株式）,JP,2024-07-31,東京都,2831835648.0,1.6826122,,13.966331,36.90175712599332,0.0,0.0,186.52,,63.92649520578895,4678961000.0,56392000.0,-0.0016300001,25154000.0,0.036140002,0.12173,0.5424336375922353,1266260000.0,1114130000.0,2124963000.0,774358000.0,1382734000.0,33090000.0,881866000.0,0.3114114340014128
キャンディル,1446,建設業,スタンダード（内国株式）,JP,2025-09-30,東京都,5381047808.0,1.8300595,,27.47045,36.34150625941109,0.3779,0.013722127,21.15,,14.910000257225496,13860556000.0,420648000.0,0.03132,196374000.0,0.01498,0.07326,0.4714734524375009,3320208000.0,3063247000.0,3937226000.0,1220000000.0,1626858000.0,80428000.0,673317600.0,0.1251276004273701
ＳＡＡＦホールディングス,1447,建設業,グロース（内国株式）,JP,2025-03-31,東京都,10709471232.0,3.9767735,,48.561947,33.43494096673967,0.0,0.0,9.04,,7.587152011621884,28855658000.0,334000000.0,0.02657,-129176000.0,0.00738,0.082609996,0.1558328199412921,14154678000.0,9510505000.0,10803735000.0,9484938000.0,3112252000.0,289202000.0,-3148501600.0,-0.2939922552471356
ＴＡＮＡＫＥＮ,1450,建設業,スタンダード（内国株式）,JP,2025-03-31,東京都,12935044096.0,1.4670569,5.785992,8.810807,7.674269254093359,0.32580003,0.0,168.77,257.0,125.32984047871788,12286088000.0,2328357000.0,0.15767,1576283000.0,0.10307,0.17764,0.7223834386152076,3160179000.0,3044877000.0,9949416000.0,,4116146000.0,241968000.0,6958614600.0,0.5379660516311547
Ｌ　ｉｓ　Ｂ,145A,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,5140174336.0,2.8778174,,71.43874,,0.0,0.0,14.04,,,1594038000.0,77143000.0,0.05687,42941000.0,0.04438,,0.6309998209297989,999414000.0,545541000.0,2240284000.0,758408000.0,1935112000.0,195309000.0,1377586300.0,0.2680038088108924
コロンビア・ワークス,146A,不動産業,スタンダード（内国株式）,JP,2024-12-31,東京都,33451460608.0,1.7593488,,12.422271,,0.16469999,0.0,348.97,,,20981000000.0,3893000000.0,0.13562,2238000000.0,0.09340999,0.23454,0.231843789522094,40085000000.0,9117000000.0,40764000000.0,37648000000.0,4293000000.0,7000000.0,683900000.0,0.0204445482370489
ソラコム,147A,情報・通信業,グロース（内国株式）,JP,2025-03-31,東京都,54842044416.0,4.971186,40.671143,104.12371,141.0501183034197,0.0,0.0,11.64,29.8,12.570000091641283,8993031000.0,656540000.0,0.09764,352716000.0,0.0,0.09279,0.7696783841113143,3048330000.0,2319939000.0,12308184000.0,950167000.0,8917773000.0,161600000.0,9372974000.0,0.1709085447089106
